id;avgtempo;chord_changes;chorus_count;composer;filename_sv;form;full_title;genre;harmony_template;instrument;key;label;lineup;mbzid;performer;recordbib;recordingdate;recordingyear;recordtitle;rhythmfeel;signature;solo_time;soloend;solopart;solostart;status;style;tempoclass;title;titleaddon;tonality_type
ArtPepper_Anthropology_FINAL.sv;218.8;"A1: ||Bb6 G7 |C-7 F7 |Bb G-7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |D-7 G7 |C-7 F7 ||
A2: ||Bb6 G7 |C-7 F7 |Bb G-7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |C-7 F7 |Bb6   ||
B1: ||D7   |D7   |G7   |G7   |C7   |C7   |F7   |F7   ||
A3: ||Bb G7 |C-7 F7 |Bb G-7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |C-7 F7 |Bb6   ||";4;Parker, Gillespie;ArtPepper_Anthropology_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);Anthropology-1;ORIGINAL;I Got Rhythm;cl;Bb-maj;Galaxy Records;"Art Pepper (as, cl); Charlie Haden (b); Billy Higgins (dr)";6391fad8-724d-416b-99aa-4dac69b7b693;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 4;SWING;4/4;00:51-03:21;03:21;1;49.0728;FINAL;COOL;UP;Anthropology;;FUNCTIONAL
ArtPepper_BluesForBlanche_FINAL.sv;198.9;A1: ||Eb7   |Ab7   |Eb7   |Eb7   |Ab7   |Ab7   |Eb7   |Eb7   |F-7   |Bb7   |Eb7   |Bb7   ||;11;Art Pepper;ArtPepper_BluesForBlanche_FINAL.sv;(A1,12);Blues for Blanche-1;ORIGINAL;Blues;as;Eb-maj;Galaxy Records;"Art Pepper (as, cl); George Cables (p); Charlie Haden (b); Billy Higgins (dr)";6f93b7a9-8d5c-46e9-aada-2533f3db871c;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 3;SWING;4/4;00:43-03:23;03:23;1;40.2693;FINAL;COOL;UP;Blues for Blanche;;BLUES
ArtPepper_Desafinado_FINAL.sv;140.5;"A1: ||Fj7   |Fj7   |G7alt   |G7alt   |G-7   |C7   |Am7b5   |D79b   |G-7   |A79b   |D7   |D79b   |G79b   |G79b   |Gbj7   |Gbj7   ||
A2: ||Fj7   |Fj7   |G7alt   |G7alt   |G-7   |C7   |Am7b5   |D79b   |G-7   |Bb-   |A-7   |Bm7b5 E79# ||
B1: ||Aj7   |Bbo7   |B-7   |E7   |Aj7   |F#-7   |B-7   |E7   ||
C1: ||Cj7   |C#o7   |D-7   |G7   |G-7   |Am7b5 D79b |G-7   |C7alt   ||";2;Antonio Carlos Jobim;ArtPepper_Desafinado_FINAL.sv;(A1,1612), (B1,8), (C1,8);Desafinado-1;ORIGINAL;;as;F-maj;Galaxy Records;"Art Pepper (as, cl); George Cables (p); Charlie Haden (b); Billy Higgins (dr)";5d42eb36-e1cb-4808-b36f-ac94dddc3fcb;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 4;LATIN;4/4;02:02-03:53;03:53;1;120.1504;FINAL;COOL;MEDIUM UP;Desafinado;;FUNCTIONAL
ArtPepper_InAMellowTone_FINAL.sv;167.6;"A1: ||F7   |Bb7   |Eb6   |Eb6   |Bb-7   |Eb7   |Abj7   |Abj7   |Ab6   |Db7   |Eb6   |C7   |F7   |F7   |Bb7   |C7   ||
B1: ||F7   |Bb7   |Eb6   |Eb6   |Bb-7   |Eb7   |Abj7   |Abj7   |Ab7   |Ao7   |Eb6   |C7   |F7   |Bb7   |Eb6   |Eb6   ||";4;Duke Ellington;ArtPepper_InAMellowTone_FINAL.sv;(A1,16), (B1,16);In a Mellow Tone-1;GREAT AMERICAN SONGBOOK;;cl;Eb-maj;Galaxy Records;"Art Pepper (as, cl); Charlie Haden (b); Billy Higgins (dr)";32114f13-935c-48a7-a42d-db97663e4658;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 4;SWING;4/4;01:00-04:03;04:03;1;56.7654;FINAL;COOL;MEDIUM UP;In a Mellow Tone;;FUNCTIONAL
ArtPepper_Stardust-1_FINAL.sv;60.7;"A1: ||Ab6   |Ab6   |Ab-6   |Ab-6 Db7 |Eb F-7 |G-7 C7 |F-7  Eo7|F-7   |Bb7 Bbo |F-7 Bb7 |Ebj7   |G-7 C-7 |F79   |C-7 F7 |Bb7 Bbsus7 |Bbo7 Bb7Eb+7||
B1: ||Ab6   |Ab6   |Ab-6   |Ab-6 Db7 |Eb   |G-7 C7 |F-7  Eo|F-7   |Ab-7   |Db7913   |Ebj7 C-7 |G-7 C7 |F-7   |Bb7   |Eb6   |Bb-7 Eb7 ||";2;Parish, Carmichael;ArtPepper_Stardust-1_FINAL.sv;(A1,16), (B1,16);Stardust-1;GREAT AMERICAN SONGBOOK;;as;Eb-maj;Galaxy Records;"Art Pepper (as, cl); George Cables (p); Charlie Haden (b); Billy Higgins (dr)";9b12b012-983c-450b-85e9-9315bebb6dfa;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 3;BALLAD;4/4;00:15-04:32;04:32;1;10.4045;FINAL;COOL;SLOW;Stardust;;FUNCTIONAL
ArtPepper_Stardust-2_FINAL.sv;60.2;"B1: ||Ab6   |Ab6   |Ab-6   |Db7   |Ebj7   |G-7 C7 |F-7   |F-7   |Ab-7   |Db7   |Eb C-7 |G-7 C7 |F-7   |Bb7   |Eb7   |Ab7   ||
C1: ||Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   ||";1;Parish, Carmichael;ArtPepper_Stardust-2_FINAL.sv;(A1,16), (B1,16);Stardust-2;GREAT AMERICAN SONGBOOK;;as;Eb-maj;Galaxy Records;"Art Pepper (as, cl); George Cables (p); Charlie Haden (b); Billy Higgins (dr)";9b12b012-983c-450b-85e9-9315bebb6dfa;Art Pepper;LC1428;25 - 26. 05.1979;1979;Art Pepper, The Compelete Galaxy Recordings, CD 3;BALLAD;4/4;05:31-10:21;10:21;2;328.1704;FINAL;COOL;SLOW;Stardust;;FUNCTIONAL
BennyCarter_IGotItBad_FINAL.sv;68.2;"A1: ||Dbj7   |F-7 Bb7 |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Db6 Bb-7 |Eb-7 Ab7 ||
A2: ||Dbj7   |Bb-7   |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Db6   |G7911#   ||
B1: ||Gbj7   |F#j7   |Gb-6   |B7   |Dbj7 B7 |F-7 Bb7 |Eb-7   |Ab7   ||
A3: ||Dbj7   |Bb-7   |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Db6   |Eb-7 Ab7 ||
B2: ||Gbj7   |Gbj7   |Gb-6   |B7   |Dbj7 B7 |F-7 Bb7 |Eb-7   |Ab7   ||
A4: ||Dbj7   |Bb-7   |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Eb-7 Ab7 |Dbj7   |Dbj7   |Dbj7   ||";1;Ellington/Webster;BennyCarter_IGotItBad_FINAL.sv;(A1,8), (A2,8), (B1,8), (A3,8);I Got It Bad-1;GREAT AMERICAN SONGBOOK;;as;Db-maj;Membran Music Ltd.;"Benny Carter (ts); Oscar Peterson (p); Barney Kessel (g); Ray Brown (b); Buddy Rich (dr)";6f69fba1-6832-4e82-8257-9d5172e6f0e4;Benny Carter;222276-354;1952-09-18;1952;Battle of Saxes Volume 2;SWING;4/4;00:00-02:52;02:52;1;0.0;FINAL;SWING;SLOW;I Got It Bad;;FUNCTIONAL
BennyCarter_It'sAWonderfulWorld-1_FINAL.sv;124.2;"A1: ||Cj7   |E-7 A7 |D-7 G7 |Cj7   ||
A2: ||Cj7   |E-7 A7 |D-7   |G7   ||
B1: ||C7   |C7   |F7   |Bb7   ||
A3: ||Cj7   |E-7 A7 |D-7 G7 |Cj7   ||";3;Oscar Peterson;BennyCarter_It'sAWonderfulWorld-1_FINAL.sv;(A1,4), (A2,4), (B1,4), (A3,4);It's a Wonderful World-1;ORIGINAL;;as;C-maj;Pablo Records;"Benny Carter (as); Oscar Peterson (p); Joe Pass (g); Dave Young (b); Martin Drew (dr)";c1a88604-d063-476d-bdd5-d2e59fce0b82;Benny Carter;CD 2310-926;1986-11-14;1986;Benny Carter meets Oscar Peterson;SWING;4/4;00:39-02:14;02:14;1;36.5569;FINAL;SWING;MEDIUM;It's a Wonderful World;;FUNCTIONAL
BennyCarter_It'sAWonderfulWorld-2_FINAL.sv;127.2;"A1: ||Cj7   |E-7 A7 |D- G7 |Cj7 G7 ||
A2: ||Cj7   |E-7 A7 |D-7   |G7   ||
B1: ||C7   |C7   |F7   |Bb7   ||
A3: ||Cj7   |E-7 A7 |D-7 G7 |Cj7   ||";2;Oscar Peterson;BennyCarter_It'sAWonderfulWorld-2_FINAL.sv;(A1,4), (A2,4), (B1,4), (A3,4);It's a Wonderful World-2;ORIGINAL;;as;C-maj;Pablo Records;"Benny Carter (as); Oscar Peterson (p); Joe Pass (g); Dave Young (b); Martin Drew (dr)";c1a88604-d063-476d-bdd5-d2e59fce0b82;Benny Carter;CD 2310-926;1986-11-14;1986;Benny Carter meets Oscar Peterson;SWING;4/4;03:44-04:46;04:46;2;221.3684;FINAL;SWING;MEDIUM;It's a Wonderful World;;FUNCTIONAL
BennyCarter_JustFriends_FINAL.sv;204.9;"A1: ||Bbj7   |Bbj7   |Bb-7   |Eb7   |Fj7   |Fj7   |Ab-7   |Db7   |G-7   |C7   |A-7   |D-7   |G7   |G7   |G-7   |C7 B7 ||
B1: ||Bbj7   |Bbj7   |Bb-7   |Eb7   |Fj7   |Fj7   |Ab-7   |Db7   |G-7   |C7   |Em7b5 A7 |D-7   |G7   |G-7 C7 |F6   |C-7 F7 ||";3;Klenner/Lewis;BennyCarter_JustFriends_FINAL.sv;(A1,16), (B1,16);Just Friends-1;GREAT AMERICAN SONGBOOK;;as;Bb-maj;Pablo Records;"Benny Carter (as); Oscar Peterson (p); Joe Pass (g); Dave Young (b); Martin Drew (dr)";0d7ab9bd-a3d0-4d78-8f8a-5f78dcaecfa9;Benny Carter;CD 2310-926;1986-11-14;1986;Benny Carter meets Oscar Peterson;SWING;4/4;02:03-03:57;03:57;1;116.9287;FINAL;SWING;UP;Just Friends;;FUNCTIONAL
